Country,CountryFull,InsuranceID,MarketingConsent,MarketingConsentStartDate,LoyaltyConsent,LoyaltyConsentStartDate,ThirdPartyConsent,ThirdPartyConsentStartDate
IS,Iceland,40025504,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CA,Canada,96130504,YES,2016-07-07,NO,1900-01-01,YES,2016-06-04
DK,Denmark,29820606,NO,1900-01-01,YES,2016-12-16,YES,2016-12-17
US,United States,4207954,NO,1900-01-01,YES,2017-05-30,YES,2016-12-30
IS,Iceland,64169596,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Greek),14827114,NO,1900-01-01,YES,2016-11-18,YES,2016-01-22
FI,Finland,62226107,YES,2016-08-31,YES,2016-06-20,YES,2016-08-25
SE,Sweden,3541350,YES,2016-01-19,NO,1900-01-01,YES,2016-10-18
AU,Australia,74482011,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
US,United States,40092758,YES,2017-01-04,NO,1900-01-01,YES,2016-03-01
HU,Hungary,60926397,YES,2016-04-10,NO,1900-01-01,YES,2017-04-30
EE,Estonia,76691657,YES,2016-05-18,NO,1900-01-01,NO,1900-01-01
NO,Norway,91114571,NO,1900-01-01,YES,2017-06-24,YES,2017-06-27
UY,Uruguay,93252457,YES,2017-03-02,YES,2016-05-07,YES,2017-07-01
ES,Spain,69067791,YES,2017-03-17,NO,1900-01-01,YES,2016-07-09
BR,Brazil,84103564,YES,2016-03-05,NO,1900-01-01,YES,2017-01-29
BE,Belgium,24409296,NO,1900-01-01,YES,2016-06-16,NO,1900-01-01
HU,Hungary,10109995,YES,2016-04-25,YES,2017-07-27,YES,2017-02-17
CH,Switzerland,80287195,YES,2017-05-03,NO,1900-01-01,NO,1900-01-01
DE,Germany,27981517,YES,2016-12-26,NO,1900-01-01,NO,1900-01-01
NO,Norway,41110825,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,27525813,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,42469197,YES,2017-03-08,NO,1900-01-01,NO,1900-01-01
BE,Belgium,55349265,NO,1900-01-01,NO,1900-01-01,YES,2016-11-20
CY,Cyprus (Anglicized),53905062,NO,1900-01-01,NO,1900-01-01,YES,2017-06-20
FR,France,64530781,NO,1900-01-01,YES,2017-03-01,NO,1900-01-01
AU,Australia,79309875,NO,1900-01-01,YES,2016-06-29,YES,2017-01-28
DK,Denmark,32439586,YES,2016-03-31,NO,1900-01-01,NO,1900-01-01
ES,Spain,75177265,YES,2016-08-12,YES,2017-05-15,YES,2016-11-05
TN,Tunisia,77753264,YES,2017-04-16,YES,2017-01-27,NO,1900-01-01
GB,United Kingdom,97261082,YES,2016-06-15,YES,2016-11-03,YES,2016-04-18
NO,Norway,81442394,YES,2017-02-26,NO,1900-01-01,NO,1900-01-01
IS,Iceland,87517914,NO,1900-01-01,YES,2016-07-06,NO,1900-01-01
DK,Denmark,91626674,NO,1900-01-01,NO,1900-01-01,YES,2016-12-11
CY,Cyprus (Greek),71173898,YES,2016-09-21,NO,1900-01-01,YES,2017-01-31
HU,Hungary,93313757,YES,2017-03-11,NO,1900-01-01,NO,1900-01-01
PT,Portugal,39256629,YES,2016-01-10,NO,1900-01-01,YES,2017-05-14
CH,Switzerland,25039665,YES,2016-11-28,YES,2016-02-13,YES,2017-04-12
BR,Brazil,32947321,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
US,United States,96709287,YES,2017-01-13,YES,2016-09-27,YES,2016-06-17
IT,Italy,56176349,YES,2016-05-23,NO,1900-01-01,YES,2016-08-13
US,United States,37980151,YES,2016-02-03,YES,2017-04-27,NO,1900-01-01
BE,Belgium,12507824,YES,2016-01-05,YES,2016-04-03,YES,2016-08-10
PL,Poland,72733173,NO,1900-01-01,NO,1900-01-01,YES,2016-09-20
GB,United Kingdom,79287056,NO,1900-01-01,NO,1900-01-01,YES,2016-11-29
BR,Brazil,67853271,YES,2016-07-31,YES,2016-07-04,YES,2017-01-10
CZ,Czech Republic,31362707,YES,2016-08-06,YES,2016-09-13,NO,1900-01-01
PT,Portugal,56614413,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BE,Belgium,91557125,NO,1900-01-01,NO,1900-01-01,YES,2016-12-04
SI,Slovenia,61023416,YES,2016-01-27,YES,2017-02-13,YES,2016-05-22
CY,Cyprus (Anglicized),19235482,NO,1900-01-01,YES,2016-12-27,NO,1900-01-01
NO,Norway,22485110,YES,2016-12-22,NO,1900-01-01,YES,2016-02-27
SI,Slovenia,7439542,YES,2017-02-05,NO,1900-01-01,YES,2017-04-07
ZA,South Africa,21516721,NO,1900-01-01,YES,2016-04-18,YES,2016-01-14
CA,Canada,28909033,YES,2016-11-15,YES,2017-04-26,NO,1900-01-01
NL,Netherlands,17065692,YES,2016-03-02,YES,2016-09-02,NO,1900-01-01
EE,Estonia,77288764,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CH,Switzerland,73750917,YES,2016-11-21,NO,1900-01-01,YES,2016-12-26
HU,Hungary,81152935,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
AU,Australia,80417692,YES,2016-01-18,NO,1900-01-01,YES,2016-03-30
IS,Iceland,99546994,YES,2017-02-04,YES,2016-03-19,NO,1900-01-01
NO,Norway,2303513,NO,1900-01-01,YES,2016-06-09,NO,1900-01-01
FR,France,50776250,YES,2016-08-04,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Anglicized),91400400,NO,1900-01-01,YES,2017-04-08,NO,1900-01-01
CA,Canada,29981654,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BR,Brazil,7852357,NO,1900-01-01,YES,2016-11-10,YES,2017-01-28
AT,Austria,93862657,NO,1900-01-01,NO,1900-01-01,YES,2016-09-02
IT,Italy,28938930,YES,2016-10-29,YES,2016-08-29,YES,2016-05-01
DE,Germany,13676933,NO,1900-01-01,YES,2016-02-14,YES,2017-02-19
NL,Netherlands,97628955,YES,2016-03-31,YES,2016-02-17,NO,1900-01-01
SI,Slovenia,88460812,NO,1900-01-01,NO,1900-01-01,YES,2016-07-14
AU,Australia,54610153,YES,2017-03-29,YES,2017-03-14,YES,2017-07-22
CY,Cyprus (Anglicized),96216731,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
ZA,South Africa,30096126,NO,1900-01-01,NO,1900-01-01,YES,2016-01-27
IS,Iceland,67847387,YES,2016-02-19,NO,1900-01-01,YES,2017-06-16
UY,Uruguay,53390664,YES,2016-03-06,NO,1900-01-01,YES,2016-06-29
CY,Cyprus (Anglicized),41702961,YES,2016-02-11,NO,1900-01-01,YES,2017-07-03
CZ,Czech Republic,9262298,NO,1900-01-01,NO,1900-01-01,YES,2016-10-25
PT,Portugal,97338395,NO,1900-01-01,YES,2016-01-14,NO,1900-01-01
IT,Italy,37567745,YES,2017-03-25,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,9476352,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BE,Belgium,8983473,YES,2016-07-07,YES,2017-03-19,NO,1900-01-01
HU,Hungary,87381890,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
SE,Sweden,56263809,YES,2017-07-30,YES,2016-11-12,YES,2016-06-04
BR,Brazil,69512334,YES,2016-12-14,NO,1900-01-01,YES,2017-05-27
BR,Brazil,72256529,NO,1900-01-01,YES,2017-07-04,YES,2016-03-25
TN,Tunisia,67329851,YES,2016-11-26,YES,2017-01-21,YES,2017-03-11
SE,Sweden,141055,YES,2016-09-07,YES,2016-08-28,YES,2016-06-01
CY,Cyprus (Anglicized),48891853,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FR,France,46927019,YES,2017-01-27,YES,2016-12-29,NO,1900-01-01
SI,Slovenia,70132519,YES,2016-03-09,YES,2016-04-01,YES,2016-01-23
NZ,New Zealand,86887866,NO,1900-01-01,NO,1900-01-01,YES,2016-04-03
US,United States,46595646,YES,2016-01-31,YES,2016-12-13,NO,1900-01-01
FI,Finland,1469692,YES,2016-01-05,NO,1900-01-01,NO,1900-01-01
FR,France,54820462,YES,2016-10-10,NO,1900-01-01,YES,2017-03-03
GL,Greenland,10741713,YES,2017-05-11,YES,2016-10-30,YES,2017-05-09
UY,Uruguay,11809419,YES,2016-04-30,YES,2016-07-16,NO,1900-01-01
CH,Switzerland,65425384,NO,1900-01-01,YES,2016-07-16,YES,2016-04-06
NZ,New Zealand,55318702,YES,2016-08-29,NO,1900-01-01,NO,1900-01-01
PL,Poland,1022151,YES,2017-05-07,NO,1900-01-01,NO,1900-01-01
IT,Italy,12434323,NO,1900-01-01,NO,1900-01-01,YES,2016-10-07
CY,Cyprus (Anglicized),82536071,YES,2016-01-17,NO,1900-01-01,NO,1900-01-01
FR,France,39738022,YES,2016-12-16,NO,1900-01-01,NO,1900-01-01
DK,Denmark,60895289,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
TN,Tunisia,59846894,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,66867783,YES,2016-02-13,YES,2016-09-07,YES,2016-03-18
US,United States,59586820,NO,1900-01-01,YES,2016-03-28,YES,2016-11-10
CY,Cyprus (Anglicized),77935211,YES,2016-02-04,NO,1900-01-01,NO,1900-01-01
ZA,South Africa,70465583,NO,1900-01-01,YES,2016-08-20,NO,1900-01-01
NZ,New Zealand,92000898,YES,2017-06-10,NO,1900-01-01,YES,2016-07-06
IS,Iceland,3327233,NO,1900-01-01,YES,2017-02-15,NO,1900-01-01
BR,Brazil,30010658,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FI,Finland,27782951,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
HU,Hungary,9625220,NO,1900-01-01,YES,2016-11-02,YES,2016-02-11
DK,Denmark,50117397,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
DE,Germany,16403721,NO,1900-01-01,NO,1900-01-01,YES,2016-04-29
AT,Austria,21879639,NO,1900-01-01,NO,1900-01-01,YES,2016-02-23
FR,France,64911310,YES,2016-12-15,YES,2017-05-08,YES,2017-06-15
CY,Cyprus (Anglicized),15070136,YES,2016-01-15,YES,2017-03-27,NO,1900-01-01
PT,Portugal,77359048,YES,2016-09-27,YES,2017-07-19,YES,2016-12-29
FI,Finland,3032767,NO,1900-01-01,NO,1900-01-01,YES,2016-03-03
GL,Greenland,70748302,NO,1900-01-01,YES,2016-06-07,NO,1900-01-01
NO,Norway,66001375,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
ZA,South Africa,27376624,NO,1900-01-01,YES,2016-09-14,YES,2016-02-07
TN,Tunisia,21808561,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
DK,Denmark,7285751,YES,2016-02-16,YES,2016-07-20,YES,2017-07-16
ZA,South Africa,66229693,YES,2016-12-03,YES,2016-02-23,NO,1900-01-01
NZ,New Zealand,90548422,NO,1900-01-01,YES,2016-04-16,YES,2016-05-16
ZA,South Africa,43829699,NO,1900-01-01,YES,2017-05-05,YES,2017-04-28
CY,Cyprus (Greek),90608272,NO,1900-01-01,YES,2016-01-20,NO,1900-01-01
PL,Poland,56972968,YES,2016-06-13,NO,1900-01-01,NO,1900-01-01
DE,Germany,86225018,NO,1900-01-01,YES,2016-02-12,NO,1900-01-01
PL,Poland,65002855,NO,1900-01-01,YES,2016-09-19,NO,1900-01-01
DE,Germany,91001489,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BE,Belgium,61773342,YES,2016-04-16,NO,1900-01-01,NO,1900-01-01
ES,Spain,1271640,YES,2016-10-28,YES,2016-02-07,NO,1900-01-01
GB,United Kingdom,93260161,NO,1900-01-01,YES,2017-01-28,NO,1900-01-01
UY,Uruguay,61795938,NO,1900-01-01,YES,2017-07-24,YES,2017-03-09
IT,Italy,80075607,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,84068625,YES,2016-04-30,NO,1900-01-01,YES,2016-02-01
PL,Poland,4205106,NO,1900-01-01,NO,1900-01-01,YES,2016-02-19
DE,Germany,63075651,YES,2017-03-31,YES,2016-04-28,NO,1900-01-01
FI,Finland,79606713,YES,2016-11-29,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,63507603,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Anglicized),60147779,YES,2017-07-14,YES,2017-01-30,NO,1900-01-01
PL,Poland,822270,NO,1900-01-01,YES,2016-04-25,NO,1900-01-01
SI,Slovenia,11076817,YES,2017-06-11,NO,1900-01-01,NO,1900-01-01
US,United States,2762620,NO,1900-01-01,YES,2016-09-04,YES,2016-12-11
TN,Tunisia,96286432,NO,1900-01-01,YES,2017-04-20,YES,2016-10-14
CA,Canada,73744538,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NO,Norway,91183063,YES,2016-05-13,NO,1900-01-01,NO,1900-01-01
GL,Greenland,87977547,NO,1900-01-01,NO,1900-01-01,YES,2016-07-12
NL,Netherlands,49364617,YES,2016-01-14,NO,1900-01-01,YES,2016-11-26
DE,Germany,21305930,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
EE,Estonia,38614059,NO,1900-01-01,NO,1900-01-01,YES,2016-09-01
CH,Switzerland,75291959,YES,2017-01-19,YES,2016-08-17,YES,2017-07-29
NZ,New Zealand,4464421,YES,2017-05-27,YES,2017-06-26,NO,1900-01-01
DK,Denmark,39978779,YES,2016-10-31,YES,2017-04-27,YES,2017-03-12
NL,Netherlands,70341748,NO,1900-01-01,NO,1900-01-01,YES,2017-07-31
EE,Estonia,65690230,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CA,Canada,62817461,NO,1900-01-01,YES,2017-02-12,YES,2016-02-07
PT,Portugal,35466935,YES,2016-10-03,YES,2016-12-04,NO,1900-01-01
GL,Greenland,49055201,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,30422808,YES,2016-05-30,NO,1900-01-01,YES,2017-04-22
SE,Sweden,8021095,NO,1900-01-01,YES,2016-05-25,YES,2016-02-01
ES,Spain,67486426,YES,2016-04-29,NO,1900-01-01,NO,1900-01-01
DE,Germany,69794450,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NL,Netherlands,74766224,YES,2016-01-10,NO,1900-01-01,YES,2017-04-21
ZA,South Africa,22152949,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CH,Switzerland,14588497,NO,1900-01-01,NO,1900-01-01,YES,2016-06-07
DK,Denmark,35247292,YES,2017-07-26,YES,2017-03-17,NO,1900-01-01
IT,Italy,2389653,NO,1900-01-01,YES,2016-07-12,NO,1900-01-01
GB,United Kingdom,6984990,NO,1900-01-01,YES,2017-06-04,NO,1900-01-01
CY,Cyprus (Anglicized),1950429,YES,2016-01-06,NO,1900-01-01,YES,2017-06-07
CY,Cyprus (Greek),73136940,NO,1900-01-01,YES,2016-05-05,YES,2017-03-01
NL,Netherlands,53250861,YES,2017-01-04,YES,2017-05-29,YES,2017-05-09
PL,Poland,30100219,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,98841876,NO,1900-01-01,YES,2017-05-02,YES,2016-06-05
FI,Finland,24509299,YES,2017-01-20,NO,1900-01-01,YES,2016-04-21
EE,Estonia,44617827,NO,1900-01-01,YES,2017-07-31,NO,1900-01-01
GL,Greenland,37827887,YES,2016-07-02,YES,2017-04-08,NO,1900-01-01
CY,Cyprus (Anglicized),54960663,YES,2016-11-25,NO,1900-01-01,NO,1900-01-01
ZA,South Africa,54733547,YES,2016-07-30,YES,2016-05-20,NO,1900-01-01
CY,Cyprus (Greek),24478401,NO,1900-01-01,NO,1900-01-01,YES,2017-06-20
CH,Switzerland,99400450,YES,2016-06-17,YES,2016-01-14,YES,2016-11-14
TN,Tunisia,87187465,YES,2016-11-23,YES,2016-08-22,NO,1900-01-01
BR,Brazil,38310032,NO,1900-01-01,NO,1900-01-01,YES,2016-09-19
SE,Sweden,85158055,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
DK,Denmark,93435968,NO,1900-01-01,YES,2016-07-27,YES,2016-09-14
NZ,New Zealand,74045170,YES,2017-05-18,YES,2016-11-05,YES,2016-12-09
NO,Norway,85101766,YES,2016-11-18,NO,1900-01-01,NO,1900-01-01
NO,Norway,34095939,NO,1900-01-01,YES,2016-09-09,NO,1900-01-01
AT,Austria,30402617,NO,1900-01-01,YES,2017-05-03,YES,2017-06-18
AT,Austria,80232316,YES,2016-02-04,NO,1900-01-01,NO,1900-01-01
DE,Germany,94882568,YES,2016-09-04,YES,2017-03-31,NO,1900-01-01
IT,Italy,23445890,YES,2016-08-15,NO,1900-01-01,NO,1900-01-01
CH,Switzerland,73718794,YES,2016-07-15,YES,2017-04-08,NO,1900-01-01
EE,Estonia,11692782,NO,1900-01-01,YES,2016-10-23,YES,2017-07-06
CY,Cyprus (Anglicized),47405906,YES,2016-01-30,YES,2016-11-06,YES,2017-04-15
GL,Greenland,22994907,YES,2016-08-09,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,41038869,YES,2017-05-20,YES,2016-02-15,YES,2016-07-30
SI,Slovenia,23417068,YES,2016-04-06,YES,2016-07-20,NO,1900-01-01
EE,Estonia,23209357,YES,2017-03-08,YES,2016-09-07,YES,2017-01-07
GL,Greenland,40223131,YES,2016-04-24,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,38197105,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FI,Finland,76311237,YES,2017-03-30,NO,1900-01-01,YES,2016-12-08
BR,Brazil,29667197,YES,2016-05-16,YES,2017-02-08,YES,2016-02-16
FR,France,1016944,YES,2016-09-19,NO,1900-01-01,YES,2016-06-03
CY,Cyprus (Greek),97526939,NO,1900-01-01,YES,2016-11-26,NO,1900-01-01
CZ,Czech Republic,1322653,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
AU,Australia,75193772,YES,2016-10-12,NO,1900-01-01,NO,1900-01-01
AU,Australia,94167089,YES,2017-07-01,YES,2016-05-25,YES,2016-10-20
NO,Norway,74216474,YES,2017-02-14,YES,2016-12-08,NO,1900-01-01
SI,Slovenia,43175701,YES,2017-03-03,YES,2016-03-26,YES,2016-12-17
BE,Belgium,39098334,YES,2017-01-07,YES,2016-11-15,NO,1900-01-01
SI,Slovenia,80846750,NO,1900-01-01,YES,2016-06-02,YES,2016-10-03
BE,Belgium,55746985,YES,2017-01-09,YES,2017-05-06,YES,2016-11-14
EE,Estonia,41853877,YES,2017-07-29,YES,2016-07-28,YES,2017-06-28
AT,Austria,76600020,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
IT,Italy,33876317,YES,2016-06-06,YES,2016-11-24,NO,1900-01-01
CY,Cyprus (Greek),94858706,YES,2016-11-19,YES,2016-04-10,YES,2016-07-15
CY,Cyprus (Greek),98901297,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BR,Brazil,26396621,YES,2016-04-30,NO,1900-01-01,NO,1900-01-01
US,United States,38177200,NO,1900-01-01,YES,2017-04-07,NO,1900-01-01
FI,Finland,71178051,NO,1900-01-01,YES,2017-04-03,YES,2017-04-14
DK,Denmark,85374679,YES,2017-07-10,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,90110765,YES,2017-03-08,YES,2017-01-31,NO,1900-01-01
CH,Switzerland,19381174,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
US,United States,25847328,YES,2017-01-28,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Greek),20812194,NO,1900-01-01,YES,2016-12-07,YES,2017-07-01
AT,Austria,34731951,YES,2016-08-31,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,30961591,YES,2016-09-29,NO,1900-01-01,YES,2016-03-17
AT,Austria,21455006,YES,2016-05-31,NO,1900-01-01,YES,2016-11-08
AT,Austria,60792840,YES,2016-08-13,YES,2017-07-08,YES,2016-08-22
CA,Canada,14829813,YES,2016-05-15,YES,2017-05-02,YES,2017-07-05
DK,Denmark,54619130,YES,2016-04-14,YES,2016-03-16,NO,1900-01-01
IT,Italy,77617469,YES,2016-06-21,NO,1900-01-01,YES,2017-01-24
CY,Cyprus (Greek),90353834,YES,2017-05-26,YES,2016-08-01,YES,2017-02-11
NZ,New Zealand,51061683,NO,1900-01-01,YES,2016-07-16,NO,1900-01-01
ZA,South Africa,56763764,YES,2016-12-01,NO,1900-01-01,YES,2016-11-30
HU,Hungary,9619979,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,38871526,NO,1900-01-01,YES,2017-05-28,YES,2016-01-09
GL,Greenland,94648917,NO,1900-01-01,NO,1900-01-01,YES,2016-04-11
AU,Australia,35269908,YES,2016-07-01,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,15782219,YES,2016-09-29,YES,2016-07-11,NO,1900-01-01
NZ,New Zealand,76800071,YES,2016-07-26,NO,1900-01-01,YES,2017-01-11
IT,Italy,94652409,NO,1900-01-01,NO,1900-01-01,YES,2016-11-18
CZ,Czech Republic,29264701,YES,2016-08-15,NO,1900-01-01,YES,2016-02-14
BR,Brazil,51263555,YES,2016-12-18,YES,2016-10-24,YES,2017-06-28
CH,Switzerland,38509357,YES,2016-09-03,YES,2016-01-24,NO,1900-01-01
GL,Greenland,69155744,YES,2017-06-08,NO,1900-01-01,YES,2016-11-19
FI,Finland,73672083,YES,2017-07-27,YES,2016-02-04,NO,1900-01-01
EE,Estonia,76310498,YES,2016-12-22,YES,2016-05-07,NO,1900-01-01
FR,France,67645736,YES,2016-03-01,NO,1900-01-01,NO,1900-01-01
HU,Hungary,10515656,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NL,Netherlands,26650909,YES,2016-07-14,NO,1900-01-01,YES,2017-07-13
BE,Belgium,21998839,NO,1900-01-01,NO,1900-01-01,YES,2016-07-08
SE,Sweden,1431260,YES,2017-02-03,YES,2016-01-27,YES,2017-04-21
PL,Poland,86384294,YES,2016-03-06,YES,2016-09-30,NO,1900-01-01
ES,Spain,19140304,YES,2016-11-22,YES,2016-07-20,YES,2017-07-17
UY,Uruguay,47860849,YES,2017-06-22,NO,1900-01-01,YES,2017-06-18
SI,Slovenia,46695975,NO,1900-01-01,YES,2016-09-08,NO,1900-01-01
DE,Germany,84691294,NO,1900-01-01,NO,1900-01-01,YES,2016-06-07
PL,Poland,69835718,YES,2016-11-11,YES,2017-04-06,YES,2017-07-25
GL,Greenland,42568842,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
IS,Iceland,26627469,NO,1900-01-01,YES,2017-02-01,YES,2016-03-13
EE,Estonia,50551387,YES,2016-12-05,NO,1900-01-01,YES,2016-06-11
TN,Tunisia,47473258,NO,1900-01-01,NO,1900-01-01,YES,2017-05-07
AT,Austria,34592826,YES,2016-06-24,NO,1900-01-01,NO,1900-01-01
SI,Slovenia,54398606,NO,1900-01-01,YES,2017-06-07,NO,1900-01-01
NO,Norway,58785558,NO,1900-01-01,NO,1900-01-01,YES,2016-06-05
HU,Hungary,86701987,NO,1900-01-01,YES,2016-04-29,YES,2016-04-04
US,United States,37659851,NO,1900-01-01,YES,2016-02-02,NO,1900-01-01
DK,Denmark,2524645,YES,2017-01-11,YES,2017-06-14,YES,2016-05-18
PL,Poland,73561883,YES,2016-11-25,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Greek),87716717,YES,2017-01-15,NO,1900-01-01,NO,1900-01-01
AU,Australia,91631041,YES,2016-06-20,YES,2016-05-04,YES,2017-05-09
DK,Denmark,81341010,YES,2016-09-29,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Greek),50002770,YES,2017-04-15,YES,2016-01-17,NO,1900-01-01
ES,Spain,10894019,NO,1900-01-01,YES,2016-03-23,NO,1900-01-01
FR,France,3049915,YES,2016-05-19,YES,2017-04-24,YES,2017-01-12
GB,United Kingdom,3383231,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
ES,Spain,85610617,YES,2016-08-24,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,83871905,YES,2016-12-23,NO,1900-01-01,YES,2017-04-16
NO,Norway,76194058,YES,2016-04-16,NO,1900-01-01,NO,1900-01-01
PT,Portugal,70222445,NO,1900-01-01,YES,2017-05-06,NO,1900-01-01
ES,Spain,82792578,NO,1900-01-01,YES,2016-02-19,YES,2016-05-22
IT,Italy,85887126,YES,2016-06-20,YES,2016-11-10,NO,1900-01-01
BE,Belgium,88596858,NO,1900-01-01,YES,2016-08-16,YES,2016-05-22
BR,Brazil,97154803,YES,2016-11-26,YES,2016-06-28,NO,1900-01-01
TN,Tunisia,90941190,YES,2016-10-20,NO,1900-01-01,YES,2016-05-04
AT,Austria,43153523,NO,1900-01-01,YES,2017-04-21,YES,2016-02-20
IS,Iceland,18100798,NO,1900-01-01,YES,2016-07-21,YES,2016-06-21
FR,France,65323927,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
SE,Sweden,17436010,NO,1900-01-01,YES,2017-03-13,YES,2016-11-14
SE,Sweden,8155864,NO,1900-01-01,YES,2016-06-20,YES,2016-11-17
GB,United Kingdom,16929544,NO,1900-01-01,NO,1900-01-01,YES,2017-06-13
GL,Greenland,98211362,YES,2017-01-26,NO,1900-01-01,YES,2017-06-07
PL,Poland,33869116,YES,2016-04-27,YES,2016-08-08,YES,2017-01-03
FR,France,80515214,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
DE,Germany,23482661,NO,1900-01-01,YES,2017-07-18,NO,1900-01-01
PT,Portugal,41575813,YES,2017-04-27,YES,2016-01-17,NO,1900-01-01
UY,Uruguay,89795404,YES,2016-07-25,NO,1900-01-01,YES,2017-01-14
SE,Sweden,44113286,NO,1900-01-01,NO,1900-01-01,YES,2016-12-30
FR,France,85068716,YES,2016-04-08,NO,1900-01-01,NO,1900-01-01
NO,Norway,49846313,YES,2016-12-11,NO,1900-01-01,NO,1900-01-01
BR,Brazil,39310965,NO,1900-01-01,YES,2017-01-07,YES,2016-06-30
HU,Hungary,46330363,YES,2016-10-19,NO,1900-01-01,YES,2017-06-25
SE,Sweden,15729033,YES,2016-01-02,NO,1900-01-01,YES,2016-01-14
CZ,Czech Republic,53181116,YES,2016-07-02,YES,2016-05-13,NO,1900-01-01
UY,Uruguay,93317048,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CA,Canada,82146136,NO,1900-01-01,YES,2016-05-01,NO,1900-01-01
AU,Australia,70951768,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
IS,Iceland,59789833,NO,1900-01-01,YES,2017-02-28,YES,2017-01-23
ZA,South Africa,26226463,YES,2016-07-29,YES,2016-01-03,YES,2017-05-11
CY,Cyprus (Anglicized),71871657,YES,2016-02-08,YES,2017-07-05,YES,2016-12-28
NL,Netherlands,24147367,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FR,France,39556680,YES,2016-06-10,NO,1900-01-01,NO,1900-01-01
AU,Australia,99609683,YES,2017-01-24,YES,2016-09-27,NO,1900-01-01
DK,Denmark,30475662,NO,1900-01-01,YES,2017-01-02,NO,1900-01-01
IT,Italy,38729435,NO,1900-01-01,NO,1900-01-01,YES,2017-01-13
BE,Belgium,41634796,YES,2016-09-11,NO,1900-01-01,NO,1900-01-01
IS,Iceland,20442987,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,35357568,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
GL,Greenland,89276360,NO,1900-01-01,NO,1900-01-01,YES,2016-07-18
DK,Denmark,20907100,NO,1900-01-01,YES,2016-09-30,NO,1900-01-01
PL,Poland,7182794,NO,1900-01-01,YES,2017-06-30,NO,1900-01-01
UY,Uruguay,70688907,YES,2016-10-28,NO,1900-01-01,YES,2016-12-14
